Image type,Percent morphing,Response 1,Response 2,Response 3,Response 4,Response 5,Response 6,Response 7,Response 8,Response 9,Response 10,Response 11,Response 12,Response 13,Response 14,Response 15,Response 16,Response 17,Response 18,Response 19,Response 20
1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1
1,1.000000e-01,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,-1
1,2.000000e-01,1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1
1,3.000000e-01,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1
1,4.000000e-01,1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1
1,5.000000e-01,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1
1,6.000000e-01,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
1,7.000000e-01,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1
1,8.000000e-01,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1
1,9.000000e-01,1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1.000000e-01,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
-1,2.000000e-01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,3.000000e-01,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1
-1,4.000000e-01,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1
-1,5.000000e-01,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1
-1,6.000000e-01,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1
-1,7.000000e-01,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,1
-1,8.000000e-01,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1
-1,9.000000e-01,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1
-1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
